depth_m,wind_speed_mps,current_speed_mps,chain_model,link_count,chain_length_m,ball_mass_kg,barrel_angle_deg,last_chain_angle_deg,buoy_draft_m,swing_radius_m,pipe_1_angle_deg,pipe_2_angle_deg,pipe_3_angle_deg,pipe_4_angle_deg,suspended_chain_length_m,seabed_chain_length_m,depth_residual_m,chain_regime,barrel_angle_within_5deg,anchor_angle_within_16deg,status,message
18.0,36.0,1.0,I,210,16.38,1200.0,10.975412426117224,46.449349977918665,0.7660266565481204,11.702613582825633,10.20784513019959,10.334291926578993,10.462002481499518,10.590994370809607,16.37999999999995,0.0,0.0,fully_suspended,0,0,ok,
18.0,36.0,1.0,II,210,22.05,1200.0,11.794036755443475,24.682340181585417,0.7382320703339922,19.12959364546432,10.957219773217881,11.095473470844068,11.235185207868666,11.376376273814344,22.05000000000007,0.0,7.105427357601002e-15,fully_suspended,0,0,ok,
18.0,36.0,1.0,III,210,25.2,1200.0,11.379123860246368,8.332135273512357,0.7518886491362466,22.36058942357736,10.577654058629644,10.709877059445233,10.843457748695215,10.97841547819148,25.20000000000003,0.0,0.0,fully_suspended,0,1,ok,
18.0,36.0,1.0,IV,210,31.5,1200.0,10.594705617164694,0.0,0.780202884447387,27.943669725765453,9.858658209721915,9.979742096820557,10.10200451880148,10.225461474106957,24.156668595894523,7.343331404105433,1.0658141036401503e-14,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,1.0,V,210,37.8,1200.0,9.786720804996811,0.0,0.813383566944917,33.47966102091374,9.116086750344198,9.226065024359976,9.33705172771884,9.449059816578924,21.121896463983067,16.67810353601689,7.105427357601002e-15,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,1.5,I,210,16.38,1200.0,13.214305314812547,46.726747390229946,0.8076363759121221,11.878562057936625,11.948999116815044,12.15212744694595,12.356882928360339,12.563278744601583,16.37999999999995,0.0,0.0,fully_suspended,0,0,ok,
18.0,36.0,1.5,II,210,22.05,1200.0,14.508103494819215,27.13460043217449,0.7624021835432979,19.363438039014287,13.097607026260997,13.324824936452485,13.553990277562281,13.785119304481084,22.05000000000007,0.0,-7.105427357601002e-15,fully_suspended,0,0,ok,
18.0,36.0,1.5,III,210,25.2,1200.0,14.231056162168858,14.158971698494266,0.7714053900842395,22.806344263625064,12.851848618423443,13.073863068750901,13.297754498966999,13.523538493981878,25.20000000000003,0.0,-7.105427357601002e-15,fully_suspended,0,1,ok,
18.0,36.0,1.5,IV,210,31.5,1200.0,13.46799488994866,0.0,0.798090439754388,28.73328312285125,12.174410915106943,12.382219806268768,12.591716860967715,12.802915851842927,27.554150226897484,3.945849773102433,-1.4210854715202004e-14,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,1.5,V,210,37.8,1200.0,12.551017757712883,0.0,0.8343992280228738,34.34019398312504,11.35917336348603,11.550167624493008,11.742633862157186,11.936583759083993,23.889911715319183,13.910088284680777,-1.0658141036401503e-14,touchdown_with_seabed_contact,0,1,ok,
