wind_speed_mps,draft_m,model_depth_m
24,0.804,27.365470173277
24,0.805,27.374517200796
24,0.806,27.383379757273
24,0.807,27.392063311588
24,0.808,27.400573134423
24,0.809,27.408914306712
24,0.810,27.417091727669
24,0.811,27.425110122432
24,0.812,27.43297404934
24,0.813,27.440687906857
24,0.814,27.448255940178
24,0.815,27.455682247509
24,0.816,27.462970786065
24,0.817,27.470125377776
24,0.818,27.477149714744
24,0.819,27.484047364429
24,0.820,27.490821774614
24,0.821,27.497476278135
24,0.822,27.504014097396
24,0.823,27.510438348689
24,0.824,27.516752046307
24,0.825,27.522958106488
24,0.826,27.529059351174
24,0.827,27.53505851161
24,0.828,27.540958231783
24,0.829,27.546761071712
24,0.830,27.552469510594
24,0.831,27.55808594982
24,0.832,27.563612715855
24,0.833,27.569052062999
24,0.834,27.57440617603
24,0.835,27.579677172739
24,0.836,27.584867106353
24,0.837,27.589977967862
24,0.838,27.595011688249
24,0.839,27.599970140624
24,0.840,27.604855142278
24,0.841,27.609668456646
24,0.842,27.614411795193
24,0.843,27.619086819229
24,0.844,27.623695141642
24,0.845,27.628238328569
24,0.846,27.632717900998
24,0.847,27.63713533631
24,0.848,27.641492069751
24,0.849,27.645789495861
24,0.850,27.650028969835
